英文術語,英文全名 / 展開,中文名稱,中文簡義,英文意義,所屬領域,初級基礎,中級重點,考試提示
Exponential Distribution,Exponential Distribution,指數分佈,指數分佈：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Waiting time between Poisson events,機率分佈,L11301,L22102,scipy scale=1/lambda
CLT,Central Limit Theorem,中央極限定理,中央極限定理：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Sample mean tends toward normal as n grows,機率分佈,L11301,L22102,Sample mean not raw data
Hypothesis Test,Hypothesis Test,假設檢定,假設檢定：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Decides whether evidence rejects H0,統計,L11301,L22103,p<=alpha reject H0
H0,Null Hypothesis,虛無假設,虛無假設：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Default no difference/no effect hypothesis,統計,L11301,L22103,Can reject or fail to reject
H1,Alternative Hypothesis,對立假設,對立假設：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Alternative hypothesis with effect or difference,統計,L11301,L22103,Research question direction
p-value,p-value,p 值,p 值：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Under H0 how extreme the observed data is,統計,L11301,L22103,Not probability H0 is true
Type I Error,Type I Error,第一型錯誤,第一型錯誤：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Rejecting a true H0 / false positive,統計,L11301,L22103,alpha / false alarm
Type II Error,Type II Error,第二型錯誤,第二型錯誤：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Failing to reject a false H0 / false negative,統計,L11301,L22103,beta / missed detection
Power,Power,檢定力,檢定力：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,One minus beta,統計,L11301,L22103,Ability to detect real effect
t-test,t-test,t 檢定,t 檢定：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Compares means in one or two groups,統計,L11301,L22103,One-sample independent paired
Welch t-test,Welch t-test,Welch t 檢定,Welch t 檢定：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Two independent groups with unequal variances,統計,L11301,L22103,equal_var=False
Chi-square Test,Chi-square Test,卡方檢定,卡方檢定：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Tests independence in categorical count table,統計,L11301,L22103,Input counts not percentages
ANOVA,ANOVA,變異數分析,變異數分析：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Compares means across three or more groups,統計,L11301,L22103,Reject means at least one differs
API Polling,Application Programming Interface,API 輪詢,API 輪詢：屬於「資料收集」的考試關鍵詞；詳細英文定義見英文意義欄。,Periodically pull API data,資料收集,L11201,L22201,定期拉資料
Webhook,Webhook,Webhook 事件推送,Webhook 事件推送：屬於「資料收集」的考試關鍵詞；詳細英文定義見英文意義欄。,Sender pushes data when event occurs,資料收集,L11201,L22201,事件發生即推送
CDC,Change Data Capture,變更資料擷取,擷取資料庫變更紀錄，例如 binlog，用於即時同步資料異動。,Captures database changes from logs,資料收集,L11201,L22201,DB binlog changes
Kafka,Kafka,Kafka 串流平台,高吞吐量串流訊息平台，用於事件流與資料管線。,High-throughput event streaming platform,資料收集,L11201,L22201,High throughput stream
Web Scraping,Web Scraping,網頁爬取,網頁爬取：屬於「資料收集」的考試關鍵詞；詳細英文定義見英文意義欄。,Extracting data from web pages,資料收集,L11201,L22201,HTML unstructured data
ETL,"Extract, Transform, Load",擷取轉換載入,先轉換資料再載入目標系統，常見於傳統資料倉儲流程。,Transform before loading into target,資料管線,L11202,L22201,Traditional DW
ELT,"Extract, Load, Transform",擷取載入轉換,先載入資料再轉換，常見於雲端資料湖倉流程。,Load first then transform,資料管線,L11202,L22201,Cloud/lakehouse
Schema Drift,Schema Drift,結構漂移,結構漂移：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Schema changes such as new deleted renamed fields,資料品質,L11202,L22201,Column/type changes
RDBMS,Relational Database Management System,關聯式資料庫,關聯式資料庫：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,SQL database with fixed schema and ACID,資料儲存,L11201,L22202,OLTP fixed schema
NoSQL,Not Only SQL,非關聯式資料庫,非關聯式資料庫：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Flexible non-relational databases,資料儲存,L11201,L22202,Document/key-value/wide-column/graph
ACID,"Atomicity, Consistency, Isolation, Durability",ACID 交易特性,ACID 交易特性：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Atomicity consistency isolation durability,資料儲存,L11201,L22202,Strong transaction correctness
BASE,"Basically Available, Soft state, Eventual consistency",BASE 特性,BASE 特性：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Basically available soft state eventual consistency,資料儲存,L11201,L22202,Availability/eventual consistency
OLTP,Online Transaction Processing,線上交易處理,線上交易處理：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Transaction workload with row-oriented access,資料儲存,L11201,L22202,Read/write whole records
OLAP,Online Analytical Processing,線上分析處理,線上分析處理：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Analytical workload with columnar scans,資料儲存,L11201,L22202,Aggregation/BI
Data Lake,Data Lake,資料湖,可存放多格式原始資料，彈性高但需要治理。,Raw flexible data storage,資料儲存,L11201,L22202,Many formats / schema-on-read
Data Warehouse,Data Warehouse,資料倉儲,結構化分析資料庫，適合 BI 查詢與彙總分析。,Structured analytics storage,資料儲存,L11201,L22202,BI structured schema
Lakehouse,Lakehouse,資料湖倉,結合資料湖彈性與資料倉儲治理能力的架構。,Combines lake flexibility and warehouse governance,資料儲存,L11201,L22202,Lake plus DW governance
HDFS,Hadoop Distributed File System,Hadoop 分散式檔案系統,Hadoop 分散式檔案系統：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Distributed file system with NameNode and DataNodes,資料儲存,L11201,L22202,NameNode SPOF
Delta Lake,Delta Lake,Delta Lake 開放表格格式,Delta Lake 開放表格格式：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Table format for reliable lakehouse tables,資料儲存,L11201,L22202,Not full platform
Apache Iceberg,Apache Iceberg,Apache Iceberg 開放表格格式,Apache Iceberg 開放表格格式：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Open table format for large analytic datasets,資料儲存,L11201,L22202,Not full platform
Apache Hudi,Apache Hudi,Apache Hudi 開放表格格式,Apache Hudi 開放表格格式：屬於「資料儲存」的考試關鍵詞；詳細英文定義見英文意義欄。,Open table format supporting upserts/incremental processing,資料儲存,L11201,L22202,Not full platform
Feature Store,Feature Store,特徵庫,特徵庫：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Centralized feature computation for training/serving,部署與 MLOps,L12302,L21302/L22202,Prevent training-serving skew
Spark,Spark,Spark 分散式處理引擎,分散式資料處理引擎，Transformation lazy，Action 才觸發執行。,Distributed batch and micro-batch processing engine,大數據處理,L11202,L22203,Transformations lazy actions execute
RDD,Resilient Distributed Dataset,RDD 彈性分散式資料集,RDD 彈性分散式資料集：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Low-level Spark abstraction,大數據處理,L11202,L22203,No Catalyst
DataFrame,DataFrame,DataFrame,DataFrame：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Spark table-like abstraction with schema and Catalyst,大數據處理,L11202,L22203,SQL optimized
Lazy Evaluation,Lazy Evaluation,延遲執行,延遲執行：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Builds plan until an action triggers execution,大數據處理,L11202,L22203,filter/select not immediate
Transformation,Transformation,轉換操作,轉換操作：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Spark operation that builds a plan,大數據處理,L11202,L22203,filter select groupBy join
Action,Action,動作操作,動作操作：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Spark operation that triggers execution,大數據處理,L11202,L22203,show count collect write
Structured Streaming,Structured Streaming,結構化串流,結構化串流：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Spark micro-batch streaming,大數據處理,L11202,L22203,Not true event-at-a-time
Flink,Flink,Flink 串流處理,Flink 串流處理：屬於「大數據處理」的考試關鍵詞；詳細英文定義見英文意義欄。,True streaming/event-at-a-time engine,大數據處理,L11202,L22203,Lower latency stream
GROUP BY,GROUP BY,GROUP BY 分組彙總,把資料依群組彙總，結果會減少資料列。,Aggregates groups and reduces row count,SQL 與資料查詢,L11202,L22203,One row per group
Window Function,Window Function,視窗函數,在保留原始資料列的情況下，新增排名、累計、lag、lead 等欄位。,Computes over partition while preserving rows,SQL 與資料查詢,L11202,L22203,Ranking cumulative lag lead
ROW_NUMBER,ROW_NUMBER,列序號,列序號：屬於「SQL 與資料查詢」的考試關鍵詞；詳細英文定義見英文意義欄。,Unique sequential number,SQL 與資料查詢,L11202,L22203,1 2 3
RANK,RANK,排名,排名：屬於「SQL 與資料查詢」的考試關鍵詞；詳細英文定義見英文意義欄。,Ranking with gaps after ties,SQL 與資料查詢,L11202,L22203,1 1 3
DENSE_RANK,DENSE_RANK,密集排名,密集排名：屬於「SQL 與資料查詢」的考試關鍵詞；詳細英文定義見英文意義欄。,Ranking without gaps after ties,SQL 與資料查詢,L11202,L22203,1 1 2
LAG,LAG,前一列,前一列：屬於「SQL 與資料查詢」的考試關鍵詞；詳細英文定義見英文意義欄。,Returns previous row value,SQL 與資料查詢,L11202,L22203,Previous value
LEAD,LEAD,後一列,後一列：屬於「SQL 與資料查詢」的考試關鍵詞；詳細英文定義見英文意義欄。,Returns next row value,SQL 與資料查詢,L11202,L22203,Next value
MinMaxScaler,MinMaxScaler,最小最大縮放,最小最大縮放：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Scales values to range such as 0 to 1,資料前處理,L11301,L22301,Outlier sensitive
StandardScaler,StandardScaler,標準化,標準化：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Scales to mean 0 and std 1,資料前處理,L11301,L22301,No fixed bounds
RobustScaler,RobustScaler,穩健縮放,穩健縮放：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Uses median and IQR,資料前處理,L11301,L22301,Outlier robust
Log Transform,Log Transform,對數轉換,對數轉換：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Compresses right-skewed positive values,資料前處理,L11301,L22301,log1p for zero
Box-Cox,Box-Cox,Box-Cox 轉換,Box-Cox 轉換：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Power transform requiring positive values,資料前處理,L11301,L22301,x>0
Yeo-Johnson,Yeo-Johnson,Yeo-Johnson 轉換,Yeo-Johnson 轉換：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Power transform supporting zero and negative values,資料前處理,L11301,L22301,Supports <=0
QuantileTransformer,QuantileTransformer,分位數轉換,分位數轉換：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Maps ranks to uniform or normal distribution,資料前處理,L11301,L22301,Nonlinear / ranking
Train Set,Train Set,訓練集,訓練集：屬於「機器學習流程」的考試關鍵詞；詳細英文定義見英文意義欄。,Data used to fit model parameters,機器學習流程,L11301,L21301,Fit only on train
Validation Set,Validation Set,驗證集,驗證集：屬於「機器學習流程」的考試關鍵詞；詳細英文定義見英文意義欄。,Data used to tune and compare models,機器學習流程,L11301,L21301,Model selection
Test Set,Test Set,測試集,測試集：屬於「機器學習流程」的考試關鍵詞；詳細英文定義見英文意義欄。,Final evaluation data,機器學習流程,L11301,L21301,Use once
Data Leakage,Data Leakage,資料洩漏,訓練過程偷看到測試集、未來資料或目標資訊，會讓評估失真。,Training sees information it should not have,機器學習流程,L11301,L21301/L22302,Fit/test contamination
Target Encoding,Target Encoding,目標編碼,目標編碼：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Encode category using target statistics,資料前處理,L11301,L21301,Only after split using train
One-Hot Encoding,One-Hot Encoding,獨熱編碼,獨熱編碼：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Create binary columns for categories,資料前處理,L11301,L21301,No natural order
Ordinal Encoding,Ordinal Encoding,序位編碼,序位編碼：屬於「資料前處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Encode ordered categories as integers,資料前處理,L11301,L21301,Natural order exists
SMOTE,Synthetic Minority Over-sampling Technique,合成少數類過採樣,在少數類樣本之間內插生成新樣本，只能在訓練集或 fold 內做。,Interpolates minority class examples,類別不平衡,L11302,L22302,Train/fold only
Random Oversampling,Random Oversampling,隨機過採樣,隨機過採樣：屬於「類別不平衡」的考試關鍵詞；詳細英文定義見英文意義欄。,Duplicates minority examples,類別不平衡,L11302,L22302,Copy not interpolation
Undersampling,Undersampling,欠採樣,欠採樣：屬於「類別不平衡」的考試關鍵詞；詳細英文定義見英文意義欄。,Reduces majority class examples,類別不平衡,L11302,L22302,May lose information
Class Weight,Class Weight,類別權重,類別權重：屬於「類別不平衡」的考試關鍵詞；詳細英文定義見英文意義欄。,Adjusts loss weighting instead of changing data,類別不平衡,L11302,L22302,No resampling
Supervised Learning,Supervised Learning,監督式學習,監督式學習：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Learning with labels,機器學習,L11301,L21301/L22302,Classification/regression
Unsupervised Learning,Unsupervised Learning,非監督式學習,非監督式學習：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Learning without labels,機器學習,L11301,L22302,Clustering
Regression,Regression,迴歸,迴歸：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Predict continuous numeric values,機器學習,L11301,L21301,Continuous target
Classification,Classification,分類,分類：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Predict categories,機器學習,L11301,L22402,Class label
k-means,k-means,k 平均分群,k 平均分群：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Unsupervised clustering minimizing SSE,機器學習,L11302,L22302,No labels / clusters
k-means++,k-means++,k-means++ 初始化,k-means++ 初始化：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Better centroid initialization for k-means,機器學習,L11302,L22302,Initialization
Elbow Method,Elbow Method,手肘法,手肘法：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Heuristic for choosing k by SSE curve,機器學習,L11302,L22302,Choose cluster number
Decision Tree,Decision Tree,決策樹,決策樹：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Supervised rule-based tree model,機器學習,L11302,L22302,Interpretable splits
Gini Impurity,Gini Impurity,吉尼不純度,吉尼不純度：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Decision tree split impurity measure,機器學習,L11302,L22302,sklearn default
Entropy,Entropy,熵,熵：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Uncertainty measure used in decision trees,機器學習,L11302,L22302,Information gain
Information Gain,Information Gain,資訊增益,資訊增益：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Entropy reduction after split,機器學習,L11302,L22302,Tree split criterion
Pruning,Pruning,剪枝,剪枝：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Reduces decision tree overfitting,機器學習,L11302,L22302,Overfitting control
Confusion Matrix,Confusion Matrix,混淆矩陣,混淆矩陣：屬於「模型評估指標」的考試關鍵詞；詳細英文定義見英文意義欄。,Table of TP FP FN TN,模型評估指標,L11301,L22402,sklearn [[TN FP][FN TP]]
Accuracy,Accuracy,準確率,準確率：屬於「模型評估指標」的考試關鍵詞；詳細英文定義見英文意義欄。,Correct predictions divided by all predictions,模型評估指標,L11301,L22402,Unsafe in imbalance
Precision,Precision,精確率,模型判成正類的樣本中，有多少真的正確；FP 代價高時優先。,TP divided by predicted positives,模型評估指標,L11301,L22402,FP costly
Recall,Recall,召回率,真正正類中，有多少被模型抓到；FN 代價高時優先。,TP divided by actual positives,模型評估指標,L11301,L22402,FN costly
F1 Score,F1 Score,F1 分數,Precision 與 Recall 的調和平均，適合兩者都要兼顧時使用。,Harmonic mean of precision and recall,模型評估指標,L11301,L22402,Balance P and R
ROC AUC,Receiver Operating Characteristic Area Under the Curve,ROC 曲線下面積,ROC AUC（Receiver Operating Characteristic Area Under the Curve）：衡量分類模型排序能力，通常要用機率 y_prob。,Ranking ability across thresholds,模型評估指標,L11301,L22402,Use y_prob
PR Curve,Precision-Recall Curve,精確率召回率曲線,PR Curve（Precision-Recall Curve）：觀察 precision 與 recall 的取捨，少數正類時特別有用。,Precision-recall curve useful for rare positives,模型評估指標,L11301,L22302,Imbalanced positive class
Threshold,Threshold,閾值,閾值：屬於「模型評估指標」的考試關鍵詞；詳細英文定義見英文意義欄。,Probability cutoff for classification,模型評估指標,L11301,L22402,Lower raises recall often
Tokenization,Tokenization,斷詞 / Token 化,把文字切成模型可處理的 token，是文字進入模型的第一步。,Break text into model-readable units,自然語言處理,L12202,L21101/L22403,Text input first step
BPE,Byte Pair Encoding,Byte Pair Encoding,BPE（Byte Pair Encoding）：subword tokenizer，常與 GPT / RoBERTa 搭配。,Subword tokenizer often associated with GPT,自然語言處理,L12202,L21101/L22403,GPT/RoBERTa
WordPiece,WordPiece,WordPiece,WordPiece：subword tokenizer，常與 BERT 搭配，常見 `##` 前綴。,Subword tokenizer associated with BERT,自然語言處理,L12202,L21101/L22403,BERT / ## prefix
Unigram,Unigram,Unigram tokenizer,Unigram：subword tokenizer 方法，常與 SentencePiece / T5 相關。,Subword tokenizer used with SentencePiece,自然語言處理,L12202,L21101,T5/SentencePiece
SentencePiece,SentencePiece,SentencePiece,SentencePiece：tokenizer 工具，常用於多語與 raw text；T5 常見。,Tokenizer library common for multilingual/raw text,自然語言處理,L12202,L21101/L22403,T5/multilingual
tiktoken,tiktoken,tiktoken,tiktoken：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,OpenAI tokenizer library,自然語言處理,L12202,L22403,OpenAI tokenization
Embedding,Embedding,嵌入向量,把 token、文字或物件轉成向量，讓模型可以計算相似度與關係。,Vector representation of tokens/items,自然語言處理,L11301,L21101,Computable representation
Static Embedding,Static Embedding,靜態嵌入,靜態嵌入：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Same word gets same vector,自然語言處理,L11301,L21101,word2vec/GloVe
Contextualized Embedding,Contextualized Embedding,動態嵌入,動態嵌入：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Vector depends on context,自然語言處理,L11301,L21101,BERT/ELMo
word2vec,word2vec,word2vec,word2vec：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Prediction-based static embedding,自然語言處理,L11301,L21101,Prediction based
GloVe,GloVe,GloVe,GloVe：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Co-occurrence-based static embedding,自然語言處理,L11301,L21101,Co-occurrence matrix
Transformer,Transformer,Transformer,以注意力機制處理序列資料的模型架構，是 BERT、GPT、T5 的基礎。,Attention-based sequence architecture,自然語言處理,L11401,L21101,BERT/GPT/T5
Self-Attention,Self-Attention,自注意力,自注意力：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Tokens attend to tokens in same sequence,自然語言處理,L11401,L21101,Q K V same sequence
Multi-head Attention,Multi-head Attention,多頭注意力,多頭注意力：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Multiple attention heads in parallel,自然語言處理,L11401,L21101,Several QKV heads
Positional Encoding,Positional Encoding,位置編碼,位置編碼：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Adds token order information to transformer,自然語言處理,L11401,L21101,Transformer lacks order by itself
BERT,Bidirectional Encoder Representations from Transformers,BERT,BERT（Bidirectional Encoder Representations from Transformers）：Encoder-only、雙向 Transformer，適合理解型任務，如分類、NER、抽取式問答。,Encoder-only bidirectional transformer,自然語言處理,L12201,L21101,Classification NER QA
GPT,Generative Pre-trained Transformer,GPT,GPT（Generative Pre-trained Transformer）：Decoder-only、自迴歸 Transformer，適合文字生成、對話與 next-token prediction。,Decoder-only autoregressive transformer,自然語言處理,L12201,L21101,Generation dialogue
T5,Text-To-Text Transfer Transformer,T5,T5（Text-To-Text Transfer Transformer）：Encoder-Decoder 架構，把任務統一成 text-to-text，常見於翻譯、摘要與 seq2seq。,Encoder-decoder text-to-text transformer,自然語言處理,L12201,L21101,Seq2seq span corruption
BART,Bidirectional and Auto-Regressive Transformers,BART,BART（Bidirectional and Auto-Regressive Transformers）：Encoder-Decoder denoising model，常見於摘要、翻譯與生成。,Encoder-decoder denoising transformer,自然語言處理,L12201,L21101,Summary translation generation
MLM,Masked Language Modeling,遮罩語言模型,MLM（Masked Language Modeling）：遮住部分 token 讓模型預測，是 BERT 的訓練目標。,Masked language modeling training objective,自然語言處理,L12201,L21101,BERT objective
Causal LM,Causal LM,因果語言模型,Causal LM（Causal Language Modeling）：由左到右預測 next token，是 GPT 的訓練目標。,Next-token prediction objective,自然語言處理,L12201,L21101,GPT objective
BLEU,BLEU,BLEU 指標,BLEU 指標：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Machine translation quality metric,自然語言處理,L12201,L21101,Higher better
